,date,day,filename,flag,id,keywords,link,month,place,publisher,year
496,2017/04/14,14,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-04-14T01:16:51+05:30->188599.txt,0,188599,[],http://timesofindia.indiatimes.com//city/mumbai/tybcom-results-may-be-delayed/articleshow/58173048.cms,04,mumbai,TOI,2017
497,2017/07/21,21,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-07-21T08:56:36+05:30->260950.txt,0,260950,[],http://timesofindia.indiatimes.com//city/kanpur/dayanand-vihar-erupts-in-joy-on-kovinds-victory/articleshow/59693068.cms,07,kanpur,TOI,2017
498,2018/03/29,29,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-03-29T12:18:21+05:30->63928.txt,0,63928,[],http://timesofindia.indiatimes.com//city/coimbatore/school-demands-term-fee-for-issuing-tc-parent-approaches-collector/articleshow/63523690.cms,03,coimbatore,TOI,2018
499,2017/05/16,16,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-05-16T13:44:42+05:30->212213.txt,0,212213,[],http://timesofindia.indiatimes.com//india/crpf-conducts-200-operations-nabs-72-naxals/articleshow/58690435.cms,05,NA,TOI,2017
500,2017/07/27,27,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-07-27T13:29:45+05:30->265341.txt,0,265341,[],http://timesofindia.indiatimes.com//city/chandigarh/kin-of-abducted-indians-in-mosul-shaken-with-sushmas-statement-in-parliament/articleshow/59780463.cms,07,amritsar,TOI,2017
501,2017/02/21,21,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-02-21T07:38:57+05:30->150990.txt,0,150990,[],http://timesofindia.indiatimes.com//business/international-business/em-asia-fx-peso-hits-lowest-since-sept-2006-rupiah-yuan-slip/articleshow/57263263.cms,02,NA,TOI,2017
502,2018/05/28,28,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-05-28T07:09:49+05:30->108122.txt,0,108122,[],http://timesofindia.indiatimes.com//city/kolkata/with-no-squall-in-ten-days-kolkata-sweats-it-out/articleshow/64347994.cms,05,kolkata,TOI,2018
503,2018/01/12,12,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-12T05:26:48+05:30->8322.txt,0,8322,[],http://timesofindia.indiatimes.com//city/mumbai/prosecution-opposes-mojo-owners-anticipatory-bail-plea-order-today/articleshow/62466161.cms,01,mumbai,TOI,2018
504,2017/10/01,01,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-10-01T10:50:08+05:30->313478.txt,0,313478,[],http://timesofindia.indiatimes.com//sports/badminton/direct-entry-for-top-shuttlers-in-nationals/articleshow/60898872.cms,10,bengaluru,TOI,2017
505,2017/01/17,17,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-01-17T03:57:38+05:30->124984.txt,0,124984,[],http://timesofindia.indiatimes.com//city/delhi/jnu-event-marred-by-protests-over-speakers/articleshow/56607357.cms,01,NA,TOI,2017
506,2018/05/03,03,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-05-03T09:39:18+05:30->89984.txt,0,89984,[],http://timesofindia.indiatimes.com//city/chennai/reformed-burglar-held-for-crimes-to-fund-old-age-home/articleshow/64010015.cms,05,chennai,TOI,2018
507,2017/02/26,26,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-02-26T20:18:50+05:30->154902.txt,0,154902,[],http://timesofindia.indiatimes.com//entertainment/hindi/bollywood/news/shah-rukh-khan-had-no-family-when-i-came-to-mumbai-bollywood-adopted-me/articleshow/57358442.cms,02,NA,TOI,2017
508,2017/04/11,11,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-04-11T06:00:00+05:30->186686.txt,0,186686,[],http://timesofindia.indiatimes.com//city/hyderabad/a-delightful-date-with-rare-stamps-and-coins/articleshow/58111388.cms,04,NA,TOI,2017
509,2018/06/01,01,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-06-01T10:42:52+05:30->111269.txt,0,111269,[],http://timesofindia.indiatimes.com//sports/football/top-stories/constantine-prepares-for-road-ahead/articleshow/64410625.cms,06,mumbai,TOI,2018
510,2017/07/08,08,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-07-08T10:00:00+05:30->251230.txt,0,251230,[],http://timesofindia.indiatimes.com//life-style/health-fitness/every-heart-counts/potassium-power-behind-heart-beat-and-circulation/articleshow/59486626.cms,07,NA,TOI,2017
511,2018/02/13,13,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-02-13T10:21:31+05:30->32158.txt,0,32158,[],http://timesofindia.indiatimes.com//tv/news/hindi/taarak-mehta-ka-ooltah-chashmah-written-update-february-12-2018-tapu-sena-surprises-pinku/articleshow/62896253.cms,02,NA,TOI,2018
